gen,sp,group,en,cnt,loc,lat,lng,alt,method,date,rmk
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of a bird from  the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Peringassery, Theni, Tamil Nadu",10.0448,77.307,440,field recording,2021-04-11,The call of a bird from  the plains below <https://ebird.org/checklist/S85285491>
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kumbharoshi, Pratapgad",17.9306,73.5988,750,field recording,2011-03-18,One call
Gallus,sonneratii,birds,Grey Junglefowl,India,"Thattekad Bird Sanctuary nr Periyar River, Ernakulam, Kerala",10.1257,76.6822,60,field recording,2016-02-02,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Parambikulam Tiger Reserve, Palakkad, Kerala",10.4084,76.7191,500,field recording,2016-10-09,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kakkadampoyil, Malappuram, Kerala",11.3362,76.1102,650,field recording,2016-01-10,
Gallus,sonneratii,birds,Grey Junglefowl,India,Thattekad Bird Sanctuary,10.108,76.713,50,field recording,2017-11-12,within the undergrowth
Gallus,sonneratii,birds,Grey Junglefowl,India,"Kakkadampoyil, Malappuram, Kerala",11.3362,76.1102,650,field recording,2017-03-19,
Gallus,sonneratii,birds,Grey Junglefowl,India,"The Valley School, Bangalore",12.8542,77.5098,800,field recording,2016-03-19,Bird sound at 15 seconds. is this a spurfowl call?
Gallus,sonneratii,birds,Grey Junglefowl,India,"Mumbai, Mumbai Suburban, Maharashtra",19.2239,72.8951,70,field recording,2016-05-07,The Bird was close in the bush but could not see it due to low light. 
Gallus,sonneratii,birds,Grey Junglefowl,India,"Konni Forest, Pathanamthitta, Kerala",9.1361,77.0057,60,field recording,2016-03-06,Konni Forest area in Mannarappara Range-  Forest type is Moist Deceduous forest. 
Gallus,sonneratii,birds,Grey Junglefowl,India,"Aralam WLS, Kannur, Kerala",11.9676,75.772,70,field recording,2015-03-15,
Gallus,sonneratii,birds,Grey Junglefowl,India,"Aveda Poppal Wadi, Uttara Kannada, Karnataka",15.3314,74.3681,600,field recording,2015-03-13,iPhone4 unedited
Gallus,sonneratii,birds,Grey Junglefowl,India,"Molem National Park, Goa",15.399,74.176,100,field recording,2015-03-06,"Recorded near Tambdi Surla temple. The male cock is calling here before sunset while foraging (presumably) in the denser part of the jungle. Just ""normalised"" in Soundforge. No other processing done to original sound track except conversion to MP3."
